benchmark,dp_hours,metric,n,mean,median,stdev,min,max
harfbuzz,2,final_edges,9,4760.666666666667,4763.0,10.136567466356647,4745.0,4776.0
harfbuzz,2,phase1_edge_gain,9,160.55555555555554,154.0,29.445335416289247,114.0,213.0
harfbuzz,2,phase2_edge_gain,9,233.77777777777777,236.0,28.345095597729856,187.0,266.0
harfbuzz,2,total_edge_gain,9,394.3333333333333,394.0,12.922847983320086,371.0,411.0
harfbuzz,2,total_edge_gain_per_hour,9,28.512732344732044,28.489364693594716,0.9331950416652074,26.827357637842724,29.71860124128789
harfbuzz,2,edges_at_14h,9,4760.666666666667,4763.0,10.136567466356647,4745.0,4776.0
harfbuzz,2,phase1_data_last_hour_rate,9,2304.3333333333335,2277.0,555.8066210472848,1357.0,3432.0
harfbuzz,2,phase1_corpus_last_hour_rate,9,1482.7777777777778,1415.0,416.4963318499269,966.0,2448.0
harfbuzz,6,final_edges,9,4775.111111111111,4777.0,9.184830488969903,4758.0,4790.0
harfbuzz,6,phase1_edge_gain,9,278.1111111111111,284.0,16.72904991657061,243.0,294.0
harfbuzz,6,phase2_edge_gain,9,127.44444444444444,129.0,22.102664494982903,88.0,169.0
harfbuzz,6,total_edge_gain,9,405.55555555555554,408.0,11.780398031381528,381.0,416.0
harfbuzz,6,total_edge_gain_per_hour,9,22.748293259275083,22.889557262852783,0.6596752279592144,21.374474053295934,23.335826477187737
harfbuzz,6,edges_at_14h,9,4760.777777777777,4761.0,10.317191693694774,4748.0,4779.0
harfbuzz,6,phase1_data_last_hour_rate,9,550.4444444444445,495.0,170.37613617457632,328.0,829.0
harfbuzz,6,phase1_corpus_last_hour_rate,9,404.55555555555554,393.0,104.30617324865186,216.0,575.0
harfbuzz,24,final_edges,9,4788.888888888889,4786.0,14.760118939599067,4772.0,4821.0
harfbuzz,24,phase1_edge_gain,9,366.6666666666667,363.0,21.289668856043768,333.0,411.0
harfbuzz,24,phase2_edge_gain,9,51.22222222222222,51.0,13.989083045162197,26.0,67.0
harfbuzz,24,total_edge_gain,9,417.8888888888889,411.0,22.256709350465783,399.0,473.0
harfbuzz,24,total_edge_gain_per_hour,9,11.6637435196631,11.47172385988308,0.6209928309682431,11.137905633311362,13.201637412392234
harfbuzz,24,edges_at_14h,9,4701.888888888889,4697.0,14.391355429948602,4681.0,4732.0
harfbuzz,24,phase1_data_last_hour_rate,9,162.33333333333334,137.0,74.57211275000863,61.0,293.0
harfbuzz,24,phase1_corpus_last_hour_rate,9,78.11111111111111,75.0,22.290381582896043,47.0,122.0
openthread,2,final_edges,9,4765.222222222223,4765.0,10.34139470499238,4741.0,4777.0
openthread,2,phase1_edge_gain,9,77.88888888888889,68.0,42.23577998700996,32.0,140.0
openthread,2,phase2_edge_gain,9,40.22222222222222,34.0,15.30341283650299,26.0,67.0
openthread,2,total_edge_gain,9,118.11111111111111,108.0,34.98015310302559,63.0,174.0
openthread,2,total_edge_gain_per_hour,9,8.540922004709238,7.8097380684557285,2.5293862911068303,4.556138130536973,12.581344902386117
openthread,2,edges_at_14h,9,4765.222222222223,4765.0,10.34139470499238,4741.0,4777.0
openthread,2,phase1_data_last_hour_rate,9,488.6666666666667,554.0,212.4276347371029,206.0,746.0
openthread,2,phase1_corpus_last_hour_rate,9,345.44444444444446,351.0,178.7156338370479,104.0,538.0
openthread,6,final_edges,9,4775.555555555556,4777.0,12.042747933000083,4761.0,4794.0
openthread,6,phase1_edge_gain,9,109.77777777777777,95.0,49.87679264391852,30.0,165.0
openthread,6,phase2_edge_gain,9,24.444444444444443,24.0,12.894874089256465,6.0,49.0
openthread,6,total_edge_gain,9,134.22222222222223,106.0,51.782665482229135,64.0,193.0
openthread,6,total_edge_gain_per_hour,9,7.528312347419525,5.945314325777051,2.904465630960136,3.5894000529685774,10.826645890144139
openthread,6,edges_at_14h,9,4773.0,4772.0,13.360389215887388,4757.0,4792.0
openthread,6,phase1_data_last_hour_rate,9,144.44444444444446,139.0,66.5283982805672,65.0,264.0
openthread,6,phase1_corpus_last_hour_rate,9,70.11111111111111,68.0,37.548117277849116,21.0,131.0
openthread,24,final_edges,9,4779.777777777777,4780.0,8.913161304747291,4761.0,4791.0
openthread,24,phase1_edge_gain,9,117.55555555555556,95.0,51.77381362984359,68.0,195.0
openthread,24,phase2_edge_gain,9,8.777777777777779,4.0,9.884050002121825,0.0,31.0
openthread,24,total_edge_gain,9,126.33333333333333,109.0,47.3392015141785,72.0,198.0
openthread,24,total_edge_gain_per_hour,9,3.5260309513223054,3.042237796936054,1.3212560026017526,2.009707382883372,5.526395360556981
openthread,24,edges_at_14h,9,4758.777777777777,4764.0,18.806765921987875,4727.0,4778.0
openthread,24,phase1_data_last_hour_rate,9,27.555555555555557,22.0,17.270720244905185,5.0,60.0
openthread,24,phase1_corpus_last_hour_rate,9,16.77777777777778,12.0,10.329300288230778,6.0,36.0
